number of bedrooms,number of bathrooms,living area,lot area,number of floors,number of views,Area of the house(excluding basement),Area of the basement,Built Year,Renovation Year,Postal Code,Lattitude,Longitude,living_area_renov,Number of schools nearby,Distance from the airport,Price
3,2.75,1540,6760,1,0,1210,330,1980,0,122033,52.9463,-114.402,1540,3,67,503000
2,1,1010,3885,1.5,0,1010,0,1906,1990,122047,52.8524,-114.494,1770,1,65,500000
3,2.5,1940,37565,1,0,1940,0,1987,0,122012,52.7101,-114.253,2560,1,69,500000
3,1,990,6000,1,0,990,0,1943,0,122004,52.9018,-114.457,1250,1,57,495000
4,2.75,2656,21195,2,0,2656,0,2014,0,122039,52.5462,-114.462,1860,1,72,495000
4,2.5,3305,16164,1.5,0,2245,1060,1922,1956,122038,52.9863,-114.528,1620,1,58,492000
3,2,1610,4160,1,0,1010,600,1917,0,122016,52.7721,-114.578,1040,2,70,485000
4,2.5,2180,11200,1,0,2180,0,1968,0,122021,52.9776,-114.276,1790,1,76,480500
2,1,820,2723,1,0,820,0,1921,0,122028,52.8923,-114.529,1370,1,80,475000
3,2,1760,9055,2,0,1760,0,1985,0,122005,52.8834,-114.318,2010,2,61,460000
3,1.75,1500,6180,1,0,1060,440,1947,0,122051,52.7989,-114.474,1740,3,68,440000
2,2,1350,3900,1,0,1350,0,2003,0,122045,52.9394,-114.22,1440,1,80,428000
2,2.5,1150,1027,3,0,1150,0,2008,0,122028,52.8834,-114.546,1360,2,61,425000
2,1.5,1040,3500,1.5,0,1040,0,1904,0,122054,52.818,-114.494,1340,2,72,420000
3,2.25,1770,8165,2,0,1770,0,1977,0,122033,52.9466,-114.426,1650,2,73,420000
3,2.25,1606,1452,3,0,1606,0,2009,0,122022,52.9475,-114.474,1516,2,71,417250
4,3,1830,9548,2,0,1830,0,1991,0,122058,52.9679,-114.414,1740,1,66,415000
4,2.75,2140,13000,1,0,1320,820,1968,0,122058,52.9983,-114.442,2360,3,67,409500
3,2.25,1660,8307,1,0,1660,0,1961,0,122038,52.9875,-114.542,2510,3,74,405000
5,1.75,3000,6000,1,0,1500,1500,1958,0,122063,52.722,-114.415,2230,1,66,380000
2,1,1640,17335,1,0,840,800,1978,0,122045,52.8697,-114.143,2440,3,66,379500
3,2.5,1830,13042,2,0,1830,0,1990,0,122024,52.6038,-114.232,1940,1,50,375000
5,2.75,2410,5003,1,0,1410,1000,2008,0,122051,52.7598,-114.464,1590,3,78,365000
2,1,820,6400,1,0,820,0,1944,0,122064,52.78,-114.569,1490,2,66,361280
5,2.5,2420,8560,1,2,1620,800,1978,0,122051,52.762,-114.475,2210,2,55,352000
3,1,1010,9360,1,0,1010,0,1981,0,122010,52.9174,-114.358,1470,1,67,350000
3,2.25,1630,12295,2,0,1630,0,1985,0,122046,52.6579,-114.351,1730,2,59,339950
2,1,820,681,3,0,820,0,2006,0,122028,52.8919,-114.542,820,2,56,339950
3,2,1570,7200,1,0,1570,0,1952,0,122014,52.9801,-114.504,1410,3,59,335000
3,1,1040,16986,1,0,1040,0,1968,0,122015,52.7112,-114.287,1660,1,76,314950
3,1.75,1870,12381,1,0,1870,0,1957,0,122040,52.5658,-114.51,1950,2,77,314500
3,1.75,2190,1716,1,0,2190,0,1967,0,122018,52.5398,-114.571,1980,1,66,313000
3,1.75,1840,10723,1,0,1220,620,1974,0,122046,52.659,-114.344,1590,2,62,310000
3,1.75,2070,37904,1,0,1420,650,1973,0,122046,52.655,-114.376,2011,2,76,310000
3,2.5,1600,3573,2,0,1600,0,2013,0,122053,52.737,-114.371,1500,2,73,305450
2,1,760,3001,1,0,760,0,1913,0,122054,52.8174,-114.501,1750,2,73,300000
3,2.5,1600,4271,2,0,1600,0,2000,0,122039,52.5603,-114.459,1700,2,62,280000
3,2.5,1600,7000,2,0,1600,0,1993,0,122024,52.5834,-114.247,1700,2,56,275000
5,1.5,1500,7112,1,0,760,740,1920,0,122031,52.6992,-114.54,1200,1,63,265000
5,2.25,2060,8632,1,0,1030,1030,1962,0,122052,52.7177,-114.525,1010,1,60,255000
3,1.75,1250,10122,1,0,1250,0,1994,0,122062,52.5577,-114.191,1980,1,53,253000
1,1,1100,4373,1,0,820,280,1947,0,122031,52.6953,-114.528,1100,3,62,250000
3,1,1110,8423,1,0,1110,0,1952,0,122031,52.7018,-114.532,1140,3,69,249000
4,1.75,1720,10018,1,0,1720,0,1960,0,122035,52.5914,-114.309,1220,3,66,248500
3,1,1400,7410,1,0,1400,0,1944,0,122031,52.7098,-114.533,1070,2,61,246000
3,1.5,1260,1270,2,0,1040,220,2005,0,122038,52.9411,-114.521,1260,3,65,245000
3,2,1410,7566,1,0,1410,0,1985,0,122065,52.5974,-114.372,1570,2,73,239900
3,2.5,1920,9180,2,0,1920,0,1988,0,122042,52.7118,-114.421,1930,1,80,230000
3,1.75,1640,10762,1,0,1130,510,1988,0,122035,52.5886,-114.264,1680,2,78,226500
3,1.5,1380,11130,1,0,1380,0,1960,0,122040,52.5446,-114.513,1380,1,78,209950
4,1,1490,6600,1,0,1490,0,1969,0,122056,52.7135,-114.522,1280,2,68,185000
2,1,1040,13100,1,0,1040,0,1912,0,122066,52.6177,-114.424,910,1,66,160000
2,1,910,22000,1,0,910,0,1956,0,122039,52.5077,-114.442,1326,2,79,100000
6,3,3510,5760,2.5,0,3510,0,1906,0,122047,52.8563,-114.502,3450,3,55,1750000
3,1.75,2430,12757,1,2,1340,1090,1952,0,122048,52.8501,-114.399,2930,3,59,1500000
5,3.25,2800,3200,1.5,0,1910,890,1932,2002,122061,52.8721,-114.54,2450,3,79,1310000
4,3.25,3820,24166,2,1,3310,510,1990,0,122057,52.7563,-114.417,2900,1,72,1250000
4,3,2920,33976,1,3,1460,1460,1964,0,122029,52.8464,-114.294,2970,2,67,1050000
4,1,3410,5000,2,0,2190,1220,1910,0,122054,52.8107,-114.481,2550,1,58,1040000
3,2.75,2015,16807,2,4,2015,0,2007,0,122031,52.68,-114.567,1780,2,71,988500
5,2.5,3160,11470,1,0,1780,1380,1971,0,122057,52.7668,-114.406,3260,2,52,980000
3,3.25,2640,4080,2,0,1840,800,1912,2000,122004,52.8936,-114.516,1990,1,78,930000
3,2.5,2920,3942,3,0,2920,0,2008,0,122053,52.761,-114.394,2920,3,65,868500
4,2,1910,6960,1.5,0,1910,0,1941,0,122028,52.9193,-114.538,1360,1,63,835000
5,3,3040,9601,1,0,1970,1070,1968,0,122057,52.7862,-114.41,3180,2,50,830000
3,2.75,3010,1842,2,0,3010,0,2011,0,122020,52.8136,-114.184,2950,3,58,785000
4,1.75,2480,9195,1,0,1390,1090,1950,0,122048,52.814,-114.385,2440,2,75,780000
4,2.5,2660,5500,2,2,2660,0,2003,0,122011,52.7739,-114.186,3620,2,64,753888
3,2.5,1690,4500,1.5,1,1690,0,1928,0,122009,52.8141,-114.573,2140,3,51,719000
4,2.5,3290,6465,2,0,3290,0,2002,0,122020,52.8281,-114.166,3100,3,63,716500
3,1,1250,4620,1.5,0,1150,100,1900,0,122028,52.881,-114.531,1900,1,60,712000
3,1.75,1320,5750,1.5,0,1320,0,1918,0,122009,52.8148,-114.581,1440,2,52,660000
4,1.75,2060,26036,1,0,1160,900,1947,0,122031,52.6744,-114.541,2590,1,69,647500
2,1.75,1230,3600,1.5,0,1230,0,1925,0,122003,52.8723,-114.551,1210,2,79,636000
2,1,1540,6872,1,0,820,720,1946,0,122003,52.8754,-114.563,1420,3,72,615000
3,2.5,1750,3354,2,0,1750,0,1991,0,122010,52.9253,-114.389,1750,2,66,595000
2,3,3160,66646,2,0,3160,0,1993,0,122037,52.9779,-114.224,3140,2,60,589900
4,2.25,2250,41688,2,0,2250,0,1980,0,122045,52.8995,-114.24,2350,2,55,569000
2,2,1870,4950,1,0,1870,0,2006,0,122045,52.9495,-114.212,1670,2,76,559950
2,2.5,1360,1349,2,0,1050,310,1997,0,122047,52.8554,-114.482,1430,2,65,553650
3,2.25,1780,191228,2,2,1780,0,1988,0,122025,52.6875,-113.938,2440,3,68,545000
6,2.25,2820,15600,1.5,2,1970,850,1940,0,122031,52.6935,-114.552,2520,3,62,543200
4,1.75,1840,9600,1,0,1220,620,1967,0,122005,52.8879,-114.315,1770,1,78,538000
4,2.5,2550,4630,2,0,2550,0,2005,0,122020,52.8228,-114.194,2550,1,69,537500
4,2.5,2280,65836,2,0,2280,0,2004,0,122037,52.9537,-114.266,2300,3,65,535000
3,1,1670,4080,1,0,1170,500,1967,0,122006,52.9199,-114.511,1560,1,62,533000
3,1.75,1980,6760,1,0,1980,0,1973,0,122029,52.8698,-114.303,2120,2,77,530000
4,2.75,2280,2850,1.5,0,1540,740,1930,0,122006,52.9171,-114.497,1680,2,50,530000
3,2.25,2430,73151,1,0,2430,0,1974,0,122015,52.7049,-114.282,2800,3,53,524000
2,1,1060,4960,1,0,1060,0,1926,0,122028,52.9196,-114.521,1420,3,57,515000
3,1.75,1410,1197,3,0,1410,0,2012,0,122028,52.8858,-114.538,1350,3,54,500000
2,1.5,1110,957,2,0,930,180,2005,0,122003,52.8619,-114.552,1680,2,56,499000
3,2.5,2310,6250,2,0,2310,0,2011,0,122058,53.0034,-114.427,2440,3,58,494000
5,2.25,2440,20828,1.5,0,2440,0,1975,0,122035,52.6062,-114.348,2670,2,50,489990
3,2,1510,43560,1,0,1510,0,1954,0,122037,52.9518,-114.269,2060,2,78,450000
2,1.5,1020,1060,3,0,1020,0,2008,0,122028,52.9101,-114.538,1340,2,69,441750
2,1,980,1179,2,0,980,0,2010,0,122003,52.8681,-114.565,1190,3,77,438000
3,1.75,1310,9282,1,0,1310,0,1976,0,122005,52.9144,-114.301,1310,3,68,437000
3,1.75,1460,7700,1,0,1460,0,1979,0,122005,52.9281,-114.317,1720,1,63,424500
3,2.5,1540,3200,3,0,1470,70,2008,0,122028,52.9261,-114.531,1540,1,53,413450
2,1,1020,8155,1,0,1020,0,1948,0,122050,52.9557,-114.551,1430,3,69,405000
3,2.75,2090,8354,2,0,2090,0,2012,0,122055,52.9636,-114.155,2280,1,60,403000
3,2.5,1960,8000,1,0,1290,670,1977,0,122033,52.9549,-114.368,1960,1,66,402000
3,1.75,1890,9920,1,0,1230,660,1944,0,122022,52.9627,-114.496,1380,1,75,385000
6,2.25,3206,5793,2,0,3206,0,2012,0,122066,52.599,-114.477,2527,3,77,375000
2,1.5,960,1808,2,0,960,0,1993,0,122044,52.8483,-114.488,1290,2,68,358000
4,1.75,2250,13515,1,0,2150,100,1940,0,122065,52.6089,-114.419,2150,1,58,350000
3,1.75,1590,9620,1,0,1590,0,1988,0,122015,52.7115,-114.342,2980,2,66,349000
4,2.5,2460,7350,2,0,2460,0,1989,0,122018,52.5361,-114.539,2390,2,76,347500
3,1.5,2240,87625,1.5,0,1480,760,1980,0,122023,52.5343,-114.284,1920,2,63,335000
2,2,1550,435600,1.5,0,1550,0,1972,0,122008,52.7445,-114.043,1600,3,75,330000
4,2.5,2320,6270,2,0,2320,0,2004,0,122035,52.5801,-114.33,2150,2,51,325900
2,1.25,860,1277,2,0,860,0,2007,0,122054,52.8142,-114.504,1280,2,52,321950
3,1.75,1890,1716,1,0,1890,0,1966,0,122035,52.6456,-114.339,1500,2,74,307000
3,2,1240,10800,1,0,1240,0,1967,2010,122046,52.679,-114.345,1480,2,74,297950
2,1.75,2200,89298,1,0,1100,1100,1973,0,122012,52.6933,-114.166,2590,3,74,295000
3,2.5,1920,7229,2,0,1920,0,1993,0,122040,52.4959,-114.5,2310,1,64,295000
4,2.5,1810,6509,2,0,1810,0,1994,0,122035,52.5831,-114.333,1760,1,59,270000
3,2.5,1940,8547,1,0,1460,480,1989,0,122065,52.5791,-114.367,1750,2,52,266000
4,2.5,2020,6236,2,0,2020,0,2002,0,122039,52.5096,-114.437,1940,1,78,262000
4,1.5,2130,8800,1,0,1100,1030,1962,0,122066,52.613,-114.478,1480,3,63,260000
4,1.75,1730,8320,1,0,1230,500,1977,0,122018,52.557,-114.551,1840,2,53,258000
3,1.75,1390,7399,1,0,1390,0,1975,0,122067,52.6483,-114.372,1460,1,71,246000
3,1.5,1260,7964,1,0,1260,0,1955,0,122060,52.6607,-114.524,1510,3,70,245000
2,1,1270,3008,1,0,650,620,1923,0,122051,52.7651,-114.469,1270,1,72,235000
3,1.75,950,6000,1,0,790,160,1939,0,122059,52.7571,-114.506,1360,1,51,230000
3,1,1390,16000,1,0,1390,0,1960,0,122039,52.5198,-114.441,1420,3,55,230000
3,2.5,1190,3000,2,0,1190,0,2002,0,122063,52.7233,-114.465,1190,1,61,229000
4,1.75,2000,6120,1,0,1100,900,1965,0,122063,52.7335,-114.448,1880,2,77,228000
4,1,2100,9200,1,0,1050,1050,1959,0,122056,52.706,-114.482,1540,1,78,211000
3,1,1490,8995,1,0,1490,0,1954,0,122056,52.7201,-114.493,1490,3,54,207000
2,1,720,5040,1,0,720,0,1955,0,122034,52.7567,-114.55,1357,1,60,205000
2,1.5,980,5000,2,0,980,0,1922,2003,122041,52.9376,-113.549,1040,1,70,134000
2,1,520,22334,1,0,520,0,1951,0,122056,52.7099,-114.486,1572,2,69,82500
3,2.25,3000,11665,1.5,4,3000,0,2001,0,122020,52.8184,-114.276,3000,2,72,2400000
5,6.5,7270,130017,2,0,6420,850,2010,0,122012,52.7671,-114.172,1800,1,68,2240000
5,4.5,5190,5432,2,2,3390,1800,1987,2000,122057,52.8146,-114.413,4460,1,64,1700000
4,2.75,3720,9450,1,4,1960,1760,1962,0,122027,52.7927,-114.346,2900,3,75,1370000
4,4.25,5860,52889,2,0,4910,950,1996,0,122021,52.9545,-114.285,3320,2,72,1160000
4,2.25,4230,37769,2,0,4230,0,1989,0,122037,52.9587,-114.267,3890,3,68,985000
4,3,3750,11025,2,0,3750,0,1976,0,122019,52.8667,-114.249,2930,2,57,920000
3,2.5,3560,107290,2,0,3560,0,1987,0,122045,52.8952,-114.239,3660,1,69,851000
4,3.5,3810,13592,1,1,2560,1250,2013,0,122053,52.7434,-114.39,3230,1,78,839900
4,2.75,3780,10308,2,0,3780,0,1999,0,122020,52.819,-114.173,3500,2,52,833000
4,3.25,3540,159430,2,0,3540,0,2007,0,122041,52.8585,-114.089,1940,2,67,800000
4,2.5,2830,20345,2,0,1980,850,1979,0,122048,52.8762,-114.381,2830,2,80,782000
4,3.5,2730,3047,2,0,2400,330,2006,0,122009,52.8097,-114.581,1980,2,70,769900
4,2.75,2790,10819,2,0,2790,0,1996,0,122012,52.7815,-114.27,3080,2,61,765000
3,2.25,2950,78843,1.5,0,2950,0,2006,0,122020,52.8217,-114.258,3880,1,63,759000
4,2.75,3100,3773,2,0,2000,1100,1919,1996,122044,52.8458,-114.481,2130,3,79,742500
2,2.5,2200,188200,1,3,2200,0,2007,0,122068,52.4758,-114.192,2700,1,78,705000
3,3,2480,45302,1,0,1620,860,1976,0,122037,52.9891,-114.263,1260,2,76,610000
4,2.5,2260,7753,2,0,2260,0,1989,0,122011,52.8052,-114.185,2690,2,72,604000
4,2.25,2430,32496,1,0,2430,0,1993,0,122037,52.9942,-114.238,2750,3,53,590000
4,3.25,2400,29252,2,0,2400,0,1982,0,122021,52.973,-114.321,2280,2,70,585000
4,2.5,2660,4000,2,0,2660,0,2001,0,122045,52.9176,-114.228,2330,3,66,583000
4,2.5,2840,6268,2,0,2840,0,1998,0,122058,52.9686,-114.425,2790,1,74,580000
3,2.25,1660,10140,1,0,1370,290,1980,0,122005,52.9189,-114.318,2100,2,64,566000
4,2.25,2470,7447,2,0,2470,0,1984,0,122014,52.9814,-114.476,2270,2,50,565000
4,2.5,2840,4500,2,0,2840,0,2012,0,122058,52.9978,-114.427,2840,2,78,557000
4,2.5,2330,14289,2,0,2330,0,1978,0,122030,52.8216,-114.338,2210,3,57,542500
4,1.75,2000,4000,1.5,0,1450,550,1926,0,122064,52.7959,-114.565,1430,3,50,536500
3,1.75,1300,5413,1.5,0,1300,0,1925,1992,122006,52.9288,-114.51,1590,1,74,536000
5,3,3480,57499,1,0,2340,1140,1976,0,122012,52.6874,-114.214,2020,3,68,532000
3,2.5,2030,6970,2,0,2030,0,1991,0,122011,52.8018,-114.189,2000,1,72,525000
3,2,1400,7293,1,0,1400,0,1963,0,122029,52.816,-114.31,1600,1,54,511555
3,2.5,2100,5824,2,2,2100,0,1999,0,122008,52.7634,-114.057,1890,1,67,505000
3,1.75,1750,11340,1,1,1300,450,1987,0,122019,52.8399,-114.248,2310,3,76,491300
2,1,1840,3300,1.5,0,1130,710,1910,0,122026,52.9057,-114.552,1320,1,53,490000
3,2,1410,4800,1,0,1410,0,1940,0,122007,52.9152,-114.568,1190,2,51,481450
4,2.5,1930,9653,1,0,1930,0,1968,0,122018,52.5667,-114.525,2100,1,51,465000
2,1,1150,4400,1,0,1150,0,1905,0,122047,52.8526,-114.482,1240,1,64,463000
4,1.75,1750,5500,1.5,0,1050,700,1926,0,122007,52.9102,-114.578,1640,1,58,460000
4,2,1650,6000,1,0,1000,650,1959,0,122054,52.8134,-114.497,1540,1,65,445000
2,2,1150,6634,1,0,860,290,1940,0,122006,52.9301,-114.499,1680,3,67,445000
4,2.25,2170,10500,1,2,1270,900,1960,0,122031,52.6694,-114.528,2080,3,60,431000
3,1,1620,30736,1.5,0,1620,0,1911,1977,122027,52.8019,-114.309,2440,2,52,428750
4,2.25,3060,48787,2,0,3060,0,1992,0,122062,52.5697,-114.108,2090,1,65,415000
4,2.5,2600,11951,2,0,2600,0,1988,0,122018,52.5353,-114.53,2820,3,71,402500
3,2.25,1445,1606,2,0,1300,145,2003,0,122012,52.7648,-114.262,1410,3,53,387000
3,3.25,1410,1253,3,0,1410,0,2005,0,122028,52.9281,-114.53,1410,2,72,382000
3,2,1340,1384,3,0,1340,0,2008,0,122028,52.9273,-114.54,1110,3,74,376000
2,1,1420,81892,1,0,1180,240,1956,0,122042,52.6642,-114.385,1490,2,73,360000
3,2.25,1640,11050,1,0,1640,0,1972,0,122015,52.7023,-114.311,1870,2,58,352000
3,1.75,1780,120661,1,0,1780,0,1979,0,122055,53.0031,-114.087,1440,2,63,336900
4,2.5,1940,3784,2,0,1940,0,2003,0,122046,52.6813,-114.309,1940,2,71,330000
3,2.25,1352,1694,3,0,1352,0,2007,0,122022,52.9565,-114.505,1439,2,68,325000
4,1.5,1470,70800,1,0,1470,0,1976,0,122062,52.5758,-114.138,1810,1,56,325000
3,2.25,998,904,2,0,798,200,2007,0,122007,52.9283,-114.557,998,1,71,324000
4,2.75,1970,7213,1,0,1170,800,1977,0,122046,52.6724,-114.316,1980,3,67,323000
4,2.25,2310,7490,2,0,2310,0,1980,0,122042,52.6679,-114.382,2310,1,55,320000
5,1.75,2320,8100,1,0,1160,1160,1956,0,122031,52.6931,-114.531,1410,3,75,315000
4,2.25,1930,7452,1,0,1430,500,1984,0,122067,52.6398,-114.379,1714,3,75,312000
4,2.25,2130,8078,1,0,1380,750,1977,0,122042,52.6782,-114.399,2300,2,72,311100
3,1.5,1060,10464,1,0,1060,0,1973,0,122033,52.9613,-114.419,1420,2,54,303500
4,2.5,2000,13300,1,0,1200,800,1968,0,122039,52.583,-114.484,1800,3,57,290000
3,1.75,1390,8700,1,3,840,550,1912,0,122042,52.7025,-114.392,1390,2,63,280950
4,2,2190,14439,1,0,1180,1010,1977,0,122039,52.5002,-114.48,2160,2,65,280000
3,1.5,1390,48257,1,0,1390,0,1922,2013,122036,52.7903,-114.084,1440,2,53,275000
3,1.5,1500,6337,1,0,1500,0,1953,0,122022,52.9576,-114.502,1420,2,50,270000
3,2,1690,9583,1,0,1690,0,1969,0,122015,52.7125,-114.354,1690,1,50,270000
3,2,1920,8075,1,0,1510,410,1969,0,122018,52.5392,-114.565,1920,1,62,260000
3,2.5,1420,14850,1,0,1020,400,1963,0,122066,52.5961,-114.48,2060,3,77,260000
2,1,960,28717,1,0,960,0,1984,0,122069,52.5656,-114.692,1860,2,50,255000
2,1,810,7980,1,0,810,0,1928,0,122052,52.719,-114.527,1440,2,64,255000
3,2.5,1850,4597,2,0,1850,0,2003,0,122035,52.6055,-114.326,2210,3,78,254000
3,1,1030,6127,1,0,880,150,1947,0,122022,52.9492,-114.51,1610,1,76,252500
3,1.75,1220,7250,1,0,1220,0,1962,0,122025,52.7187,-113.974,1700,3,58,251000
4,3,2163,5883,2,0,2163,0,2006,0,122039,52.5034,-114.441,1700,3,68,248000
3,1,1360,9948,1,0,1360,0,1977,0,122062,52.5722,-114.243,1670,2,74,234950
3,2.5,2000,9202,2,0,2000,0,1992,0,122024,52.5816,-114.247,1750,1,72,225000
4,1,1430,8355,1.5,0,1430,0,1983,0,122023,52.5478,-114.364,1550,1,71,224500
2,1.5,1020,1525,2,0,1020,0,2004,0,122038,52.934,-114.537,1020,3,70,212000
3,1,1160,8320,1,0,1160,0,1959,0,122066,52.6131,-114.478,1480,1,71,201500
2,1,720,18000,1,0,720,0,1950,0,122063,52.7354,-114.451,1250,1,56,195000
4,2,2520,6000,1,0,1400,1120,1921,2007,122028,52.9067,-114.54,1580,2,75,875000
5,2.75,3060,7015,1,0,1600,1460,1979,0,122052,52.7352,-114.562,2190,1,70,549900
3,2.5,1350,1250,3,0,1270,80,2006,0,122016,52.7791,-114.577,1350,2,78,394950
3,2.5,2130,6969,2,0,2130,0,2003,0,122024,52.5955,-114.217,1670,2,55,320000
4,1,1940,9533,1,0,1080,860,1962,0,122067,52.6439,-114.398,1940,2,63,265000
4,2.5,2160,5298,2.5,0,2160,0,1902,0,122044,52.8406,-114.5,1720,1,67,842500
3,2.5,1370,1350,2,0,1010,360,2007,0,122016,52.7834,-114.572,1450,2,61,368000
5,2.75,3650,20150,1,0,2360,1290,1975,0,122048,52.8515,-114.414,3220,2,53,1580000
5,1.75,3380,20021,1,0,1690,1690,1963,0,122048,52.8695,-114.401,3260,3,59,1350000
4,3.5,3460,3997,2,0,2560,900,2004,0,122028,52.9018,-114.519,1860,1,74,1320000
4,3.25,2330,9687,2,3,2330,0,1918,0,122047,52.8564,-114.473,3880,1,74,1300000
4,3.75,3490,9170,2,0,3490,0,2012,0,122048,52.8291,-114.39,1810,1,58,1260000
4,4.5,5420,101930,1,0,3890,1530,2001,0,122045,52.8861,-114.195,4760,3,59,1230000
4,2.25,3070,16028,1,3,1870,1200,1976,0,122057,52.7571,-114.418,3070,3,62,1230000
3,1.75,1560,8078,1.5,4,1560,0,1928,0,122057,52.8079,-114.436,2890,2,52,1200000
3,2.5,3720,11610,2,0,3720,0,1982,0,122019,52.866,-114.239,3530,2,74,1080000
4,3.75,3280,11000,2,0,2320,960,2008,0,122010,52.9155,-114.391,2400,2,64,1050000
4,3.25,3270,5187,2,0,3110,160,2014,0,122005,52.9266,-114.323,3600,2,72,1030000
3,2.5,2920,34527,1,4,1800,1120,1954,1983,122009,52.8099,-114.59,2480,3,66,1020000
5,3,4530,258746,1.5,0,3200,1330,2003,0,122037,53.0002,-114.256,3430,1,79,950000
4,2.25,3290,12329,1.5,0,3290,0,1968,0,122057,52.7939,-114.406,3170,2,80,947500
3,2.75,2980,27144,1.5,2,2180,800,1917,0,122031,52.6822,-114.568,1890,1,73,947500
4,2.75,3300,12090,2,0,3300,0,1953,0,122048,52.8594,-114.408,3180,1,55,927000
3,2,2700,6120,1,0,1350,1350,1962,0,122006,52.9031,-114.517,1700,2,65,910000
4,3.25,4700,38412,2,0,3420,1280,1978,0,122049,52.8745,-114.357,3640,3,51,900000
4,2.5,2830,5000,2,0,2830,0,1995,0,122004,52.8897,-114.48,1950,3,67,885000
3,3.25,2170,12508,1.5,0,1650,520,1928,1970,122057,52.7965,-114.419,2720,2,68,876650
4,2.5,2350,3150,1.5,0,1690,660,1910,0,122028,52.8905,-114.525,1750,2,77,870300
4,1.75,2350,11914,1,0,2350,0,1961,0,122057,52.7692,-114.418,2240,3,50,850000
4,2.75,2600,2750,1.5,0,1620,980,1936,0,122003,52.8713,-114.547,1960,3,68,840000
5,4.5,4630,6324,2,0,3210,1420,2006,0,122008,52.7682,-114.05,4420,3,77,809000
4,3.25,3680,5759,2,0,2840,840,2003,0,122012,52.7667,-114.257,3620,3,72,788000
3,1.75,1720,5000,1,0,1720,0,1954,2014,122044,52.8457,-114.48,2120,3,78,770000
4,2.5,3110,6142,2,0,3110,0,2004,0,122005,52.931,-114.301,3200,2,76,751000
4,2.5,2980,4930,2,0,2890,90,2000,0,122027,52.7745,-114.31,2980,2,58,750000
3,2.5,2620,8950,2,0,2620,0,1992,0,122027,52.7823,-114.309,2850,2,66,746000
4,2.5,2760,5000,1.5,0,1680,1080,1928,0,122026,52.9026,-114.561,1850,3,64,734200
4,2.5,2670,13463,2,0,2670,0,1989,0,122011,52.7927,-114.208,2560,1,62,690000
4,3,2400,3340,1,0,1200,1200,1964,0,122026,52.8946,-114.555,1520,3,58,675000
4,2.5,2550,10000,1,0,1290,1260,1964,0,122030,52.8508,-114.331,2270,3,57,660000
4,2.5,3040,6887,2,0,3040,0,1999,0,122019,52.8373,-114.205,2790,3,52,647000
3,2.5,1570,1433,3,0,1570,0,2010,0,122028,52.9158,-114.526,1570,1,55,635000
4,2,1770,4166,2,0,1770,0,1911,1981,122032,52.8793,-114.591,1340,2,55,630000
3,1.5,1620,6630,1,0,1280,340,1954,0,122007,52.9248,-114.584,1880,3,55,620000
2,1.75,2040,4480,1.5,3,2040,0,1919,1990,122069,52.6279,-114.655,2040,1,64,615000
4,3,2110,5000,1.5,2,1640,470,1930,0,122016,52.7495,-114.581,1380,1,80,610000
4,1.75,2120,4650,1,1,1190,930,1951,0,122007,52.9264,-114.59,2070,2,70,582000
3,2,2560,216777,1,0,2560,0,1986,0,122023,52.525,-114.276,2360,2,69,560000
4,2.25,2540,228254,1,0,1450,1090,1990,0,122055,52.949,-114.102,1780,1,76,540000
4,2.25,1800,8623,1,0,1360,440,1980,0,122010,52.922,-114.374,2370,1,65,522000
4,1.75,1940,4800,1,0,1030,910,1922,0,122044,52.8354,-114.504,1450,1,79,505000
4,2.5,2780,6369,1,0,1590,1190,1978,0,122033,52.9584,-114.406,2170,3,78,505000
2,2.25,1290,1334,3,0,1290,0,2007,0,122026,52.9019,-114.572,1350,1,53,500000
3,1,980,6380,1,0,760,220,1941,0,122006,52.922,-114.498,1390,2,50,499950
2,2.5,1230,1391,2,0,870,360,2004,0,122047,52.8492,-114.491,1240,2,55,490000
3,1.5,2020,11358,1,0,1190,830,1956,0,122010,52.8941,-114.375,2370,2,62,465000
3,2.5,2010,2287,2,0,1390,620,2014,0,122011,52.7817,-114.188,1690,1,59,453246
3,1.5,1770,17208,1,0,1160,610,1959,0,122027,52.7959,-114.307,2450,3,50,450000
2,2.5,1480,1369,3,0,1480,0,2009,0,122005,52.906,-114.311,1390,3,71,420000
3,2.25,2200,16921,2,0,2200,0,1987,0,122024,52.6027,-114.241,2060,3,75,410000
4,2.5,2160,6223,2,0,2160,0,2010,0,122024,52.5794,-114.232,2160,1,53,383000
5,3,2480,10090,1,0,1300,1180,2004,0,122063,52.7264,-114.453,2290,1,69,372500
2,2.5,980,895,2,0,670,310,2009,0,122009,52.8174,-114.576,980,3,53,369000
3,1,1280,9898,1,0,1280,0,1968,0,122021,52.9977,-114.353,1290,2,54,368000
4,2,1730,5500,1,0,1010,720,1943,0,122034,52.7604,-114.543,1080,2,58,360000
4,2.5,2380,7066,2,0,2380,0,1997,0,122067,52.6282,-114.362,2310,1,54,357000
2,1,910,4500,1.5,0,910,0,1906,0,122051,52.7933,-114.479,1270,1,67,350000
3,1.5,1720,7119,1.5,0,1720,0,1952,0,122014,52.9835,-114.504,1590,1,80,341000
3,1,1080,8100,1,0,1080,0,1955,0,122014,53.007,-114.497,1080,2,61,339000
3,2.5,1940,4927,2,0,1940,0,2004,0,122046,52.6779,-114.31,2070,2,68,335000
