number of bedrooms,number of bathrooms,living area,lot area,number of floors,number of views,Area of the house(excluding basement),Area of the basement,Built Year,Renovation Year,living_area_renov,Number of schools nearby,Distance from the airport,Price
3,1,1390,7399,1,0,1390,0,1975,0,1460,1,71,246000
3,1,1260,7964,1,0,1260,0,1955,0,1510,3,70,245000
2,1,1270,3008,1,0,650,620,1923,0,1270,1,72,235000
3,1,950,6000,1,0,790,160,1939,0,1360,1,51,230000
3,1,1390,16000,1,0,1390,0,1960,0,1420,3,55,230000
3,2,1190,3000,2,0,1190,0,2002,0,1190,1,61,229000
4,1,2000,6120,1,0,1100,900,1965,0,1880,2,77,228000
4,1,2100,9200,1,0,1050,1050,1959,0,1540,1,78,211000
3,1,1490,8995,1,0,1490,0,1954,0,1490,3,54,207000
2,1,720,5040,1,0,720,0,1955,0,1357,1,60,205000
2,1,980,5000,2,0,980,0,1922,2003,1040,1,70,134000
2,1,520,22334,1,0,520,0,1951,0,1572,2,69,82500
3,2,3000,11665,1,4,3000,0,2001,0,3000,2,72,2400000
5,6,7270,130017,2,0,6420,850,2010,0,1800,1,68,2240000
5,4,5190,5432,2,2,3390,1800,1987,2000,4460,1,64,1700000
4,2,3720,9450,1,4,1960,1760,1962,0,2900,3,75,1370000
4,4,5860,52889,2,0,4910,950,1996,0,3320,2,72,1160000
4,2,4230,37769,2,0,4230,0,1989,0,3890,3,68,985000
4,3,3750,11025,2,0,3750,0,1976,0,2930,2,57,920000
3,2,3560,107290,2,0,3560,0,1987,0,3660,1,69,851000
4,3,3810,13592,1,1,2560,1250,2013,0,3230,1,78,839900
4,2,3780,10308,2,0,3780,0,1999,0,3500,2,52,833000
4,3,3540,159430,2,0,3540,0,2007,0,1940,2,67,800000
4,2,2830,20345,2,0,1980,850,1979,0,2830,2,80,782000
4,3,2730,3047,2,0,2400,330,2006,0,1980,2,70,769900
4,2,2790,10819,2,0,2790,0,1996,0,3080,2,61,765000
3,2,2950,78843,1,0,2950,0,2006,0,3880,1,63,759000
4,2,3100,3773,2,0,2000,1100,1919,1996,2130,3,79,742500
2,2,2200,188200,1,3,2200,0,2007,0,2700,1,78,705000
3,3,2480,45302,1,0,1620,860,1976,0,1260,2,76,610000
4,2,2260,7753,2,0,2260,0,1989,0,2690,2,72,604000
4,2,2430,32496,1,0,2430,0,1993,0,2750,3,53,590000
4,3,2400,29252,2,0,2400,0,1982,0,2280,2,70,585000
4,2,2660,4000,2,0,2660,0,2001,0,2330,3,66,583000
4,2,2840,6268,2,0,2840,0,1998,0,2790,1,74,580000
3,2,1660,10140,1,0,1370,290,1980,0,2100,2,64,566000
4,2,2470,7447,2,0,2470,0,1984,0,2270,2,50,565000
4,2,2840,4500,2,0,2840,0,2012,0,2840,2,78,557000
4,2,2330,14289,2,0,2330,0,1978,0,2210,3,57,542500
4,1,2000,4000,1,0,1450,550,1926,0,1430,3,50,536500
3,1,1300,5413,1,0,1300,0,1925,1992,1590,1,74,536000
5,3,3480,57499,1,0,2340,1140,1976,0,2020,3,68,532000
3,2,2030,6970,2,0,2030,0,1991,0,2000,1,72,525000
3,2,1400,7293,1,0,1400,0,1963,0,1600,1,54,511555
3,2,2100,5824,2,2,2100,0,1999,0,1890,1,67,505000
3,1,1750,11340,1,1,1300,450,1987,0,2310,3,76,491300
2,1,1840,3300,1,0,1130,710,1910,0,1320,1,53,490000
3,2,1410,4800,1,0,1410,0,1940,0,1190,2,51,481450
4,2,1930,9653,1,0,1930,0,1968,0,2100,1,51,465000
2,1,1150,4400,1,0,1150,0,1905,0,1240,1,64,463000
4,1,1750,5500,1,0,1050,700,1926,0,1640,1,58,460000
4,2,1650,6000,1,0,1000,650,1959,0,1540,1,65,445000
2,2,1150,6634,1,0,860,290,1940,0,1680,3,67,445000
4,2,2170,10500,1,2,1270,900,1960,0,2080,3,60,431000
3,1,1620,30736,1,0,1620,0,1911,1977,2440,2,52,428750
4,2,3060,48787,2,0,3060,0,1992,0,2090,1,65,415000
4,2,2600,11951,2,0,2600,0,1988,0,2820,3,71,402500
3,2,1445,1606,2,0,1300,145,2003,0,1410,3,53,387000
3,3,1410,1253,3,0,1410,0,2005,0,1410,2,72,382000
3,2,1340,1384,3,0,1340,0,2008,0,1110,3,74,376000
2,1,1420,81892,1,0,1180,240,1956,0,1490,2,73,360000
3,2,1640,11050,1,0,1640,0,1972,0,1870,2,58,352000
3,1,1780,120661,1,0,1780,0,1979,0,1440,2,63,336900
4,2,1940,3784,2,0,1940,0,2003,0,1940,2,71,330000
3,2,1352,1694,3,0,1352,0,2007,0,1439,2,68,325000
4,1,1470,70800,1,0,1470,0,1976,0,1810,1,56,325000
3,2,998,904,2,0,798,200,2007,0,998,1,71,324000
4,2,1970,7213,1,0,1170,800,1977,0,1980,3,67,323000
4,2,2310,7490,2,0,2310,0,1980,0,2310,1,55,320000
5,1,2320,8100,1,0,1160,1160,1956,0,1410,3,75,315000
4,2,1930,7452,1,0,1430,500,1984,0,1714,3,75,312000
4,2,2130,8078,1,0,1380,750,1977,0,2300,2,72,311100
3,1,1060,10464,1,0,1060,0,1973,0,1420,2,54,303500
4,2,2000,13300,1,0,1200,800,1968,0,1800,3,57,290000
3,1,1390,8700,1,3,840,550,1912,0,1390,2,63,280950
4,2,2190,14439,1,0,1180,1010,1977,0,2160,2,65,280000
3,1,1390,48257,1,0,1390,0,1922,2013,1440,2,53,275000
3,1,1500,6337,1,0,1500,0,1953,0,1420,2,50,270000
3,2,1690,9583,1,0,1690,0,1969,0,1690,1,50,270000
3,2,1920,8075,1,0,1510,410,1969,0,1920,1,62,260000
3,2,1420,14850,1,0,1020,400,1963,0,2060,3,77,260000
2,1,960,28717,1,0,960,0,1984,0,1860,2,50,255000
2,1,810,7980,1,0,810,0,1928,0,1440,2,64,255000
3,2,1850,4597,2,0,1850,0,2003,0,2210,3,78,254000
3,1,1030,6127,1,0,880,150,1947,0,1610,1,76,252500
3,1,1220,7250,1,0,1220,0,1962,0,1700,3,58,251000
4,3,2163,5883,2,0,2163,0,2006,0,1700,3,68,248000
3,1,1360,9948,1,0,1360,0,1977,0,1670,2,74,234950
3,2,2000,9202,2,0,2000,0,1992,0,1750,1,72,225000
4,1,1430,8355,1,0,1430,0,1983,0,1550,1,71,224500
2,1,1020,1525,2,0,1020,0,2004,0,1020,3,70,212000
3,1,1160,8320,1,0,1160,0,1959,0,1480,1,71,201500
2,1,720,18000,1,0,720,0,1950,0,1250,1,56,195000
4,2,2520,6000,1,0,1400,1120,1921,2007,1580,2,75,875000
5,2,3060,7015,1,0,1600,1460,1979,0,2190,1,70,549900
3,2,1350,1250,3,0,1270,80,2006,0,1350,2,78,394950
3,2,2130,6969,2,0,2130,0,2003,0,1670,2,55,320000
4,1,1940,9533,1,0,1080,860,1962,0,1940,2,63,265000
4,2,2160,5298,2,0,2160,0,1902,0,1720,1,67,842500
3,2,1370,1350,2,0,1010,360,2007,0,1450,2,61,368000
5,2,3650,20150,1,0,2360,1290,1975,0,3220,2,53,1580000
5,1,3380,20021,1,0,1690,1690,1963,0,3260,3,59,1350000
4,3,3460,3997,2,0,2560,900,2004,0,1860,1,74,1320000
4,3,2330,9687,2,3,2330,0,1918,0,3880,1,74,1300000
4,3,3490,9170,2,0,3490,0,2012,0,1810,1,58,1260000
4,4,5420,101930,1,0,3890,1530,2001,0,4760,3,59,1230000
4,2,3070,16028,1,3,1870,1200,1976,0,3070,3,62,1230000
3,1,1560,8078,1,4,1560,0,1928,0,2890,2,52,1200000
3,2,3720,11610,2,0,3720,0,1982,0,3530,2,74,1080000
4,3,3280,11000,2,0,2320,960,2008,0,2400,2,64,1050000
4,3,3270,5187,2,0,3110,160,2014,0,3600,2,72,1030000
3,2,2920,34527,1,4,1800,1120,1954,1983,2480,3,66,1020000
5,3,4530,258746,1,0,3200,1330,2003,0,3430,1,79,950000
4,2,3290,12329,1,0,3290,0,1968,0,3170,2,80,947500
3,2,2980,27144,1,2,2180,800,1917,0,1890,1,73,947500
4,2,3300,12090,2,0,3300,0,1953,0,3180,1,55,927000
3,2,2700,6120,1,0,1350,1350,1962,0,1700,2,65,910000
4,3,4700,38412,2,0,3420,1280,1978,0,3640,3,51,900000
4,2,2830,5000,2,0,2830,0,1995,0,1950,3,67,885000
3,3,2170,12508,1,0,1650,520,1928,1970,2720,2,68,876650
4,2,2350,3150,1,0,1690,660,1910,0,1750,2,77,870300
4,1,2350,11914,1,0,2350,0,1961,0,2240,3,50,850000
4,2,2600,2750,1,0,1620,980,1936,0,1960,3,68,840000
5,4,4630,6324,2,0,3210,1420,2006,0,4420,3,77,809000
4,3,3680,5759,2,0,2840,840,2003,0,3620,3,72,788000
3,1,1720,5000,1,0,1720,0,1954,2014,2120,3,78,770000
4,2,3110,6142,2,0,3110,0,2004,0,3200,2,76,751000
4,2,2980,4930,2,0,2890,90,2000,0,2980,2,58,750000
3,2,2620,8950,2,0,2620,0,1992,0,2850,2,66,746000
4,2,2760,5000,1,0,1680,1080,1928,0,1850,3,64,734200
4,2,2670,13463,2,0,2670,0,1989,0,2560,1,62,690000
4,3,2400,3340,1,0,1200,1200,1964,0,1520,3,58,675000
4,2,2550,10000,1,0,1290,1260,1964,0,2270,3,57,660000
4,2,3040,6887,2,0,3040,0,1999,0,2790,3,52,647000
3,2,1570,1433,3,0,1570,0,2010,0,1570,1,55,635000
4,2,1770,4166,2,0,1770,0,1911,1981,1340,2,55,630000
3,1,1620,6630,1,0,1280,340,1954,0,1880,3,55,620000
2,1,2040,4480,1,3,2040,0,1919,1990,2040,1,64,615000
4,3,2110,5000,1,2,1640,470,1930,0,1380,1,80,610000
4,1,2120,4650,1,1,1190,930,1951,0,2070,2,70,582000
3,2,2560,216777,1,0,2560,0,1986,0,2360,2,69,560000
4,2,2540,228254,1,0,1450,1090,1990,0,1780,1,76,540000
4,2,1800,8623,1,0,1360,440,1980,0,2370,1,65,522000
4,1,1940,4800,1,0,1030,910,1922,0,1450,1,79,505000
4,2,2780,6369,1,0,1590,1190,1978,0,2170,3,78,505000
2,2,1290,1334,3,0,1290,0,2007,0,1350,1,53,500000
3,1,980,6380,1,0,760,220,1941,0,1390,2,50,499950
2,2,1230,1391,2,0,870,360,2004,0,1240,2,55,490000
3,1,2020,11358,1,0,1190,830,1956,0,2370,2,62,465000
3,2,2010,2287,2,0,1390,620,2014,0,1690,1,59,453246
3,1,1770,17208,1,0,1160,610,1959,0,2450,3,50,450000
2,2,1480,1369,3,0,1480,0,2009,0,1390,3,71,420000
3,2,2200,16921,2,0,2200,0,1987,0,2060,3,75,410000
4,2,2160,6223,2,0,2160,0,2010,0,2160,1,53,383000
5,3,2480,10090,1,0,1300,1180,2004,0,2290,1,69,372500
2,2,980,895,2,0,670,310,2009,0,980,3,53,369000
3,1,1280,9898,1,0,1280,0,1968,0,1290,2,54,368000
4,2,1730,5500,1,0,1010,720,1943,0,1080,2,58,360000
4,2,2380,7066,2,0,2380,0,1997,0,2310,1,54,357000
2,1,910,4500,1,0,910,0,1906,0,1270,1,67,350000
3,1,1720,7119,1,0,1720,0,1952,0,1590,1,80,341000
3,1,1080,8100,1,0,1080,0,1955,0,1080,2,61,339000
3,2,1940,4927,2,0,1940,0,2004,0,2070,2,68,335000
5,3,2100,4548,1,0,1250,850,2013,0,2100,2,61,330000
3,1,1440,8040,1,0,960,480,1951,0,1500,3,63,315275
5,2,2180,7813,2,0,2180,0,1986,0,1880,2,54,302000
2,1,830,1333,2,0,830,0,2005,0,1120,2,52,301500
2,1,1360,8100,1,0,860,500,1975,0,1830,3,72,300000
3,1,1830,8209,1,0,1830,0,1942,0,2150,3,75,270000
2,1,1290,2828,2,0,1290,0,2008,0,1290,1,71,265000
2,1,1220,2500,1,0,770,450,1910,0,1540,3,64,255000
1,1,810,2451,1,0,810,0,1941,0,980,1,55,235000
3,1,990,8012,1,0,990,0,1966,0,1260,3,79,225000
3,1,1350,7620,1,0,1350,0,1941,0,1350,1,75,211000
3,2,1040,2643,2,0,720,320,2004,0,1540,1,64,210000
3,1,1460,9750,1,0,1460,0,1969,0,1270,3,80,201000
2,1,700,10540,1,0,700,0,1953,0,890,3,63,192000
3,1,1370,8470,1,0,1370,0,1961,0,1710,2,73,185000
3,1,970,8580,1,0,970,0,1959,0,1430,3,78,156000
3,1,1250,53143,1,0,1250,0,1945,0,1820,3,56,110000
4,2,5300,26211,2,2,4570,730,1923,0,3890,1,79,2560000
5,4,4430,9000,2,0,4430,0,2013,0,2470,2,56,2450000
4,4,5030,11023,2,2,3250,1780,2008,0,3640,3,52,2450000
5,2,3120,16672,2,0,3120,0,1969,0,3740,3,51,1900000
5,3,4860,23723,2,2,3820,1040,1989,0,4040,3,74,1680000
5,3,3370,17458,1,2,2000,1370,1982,0,4240,2,77,1550000
5,4,3530,7924,2,0,3530,0,2001,0,1750,3,59,1400000
4,1,2740,4000,2,0,1930,810,1905,0,1680,3,60,1110000
4,3,4400,8400,2,0,4400,0,2003,0,4440,2,71,1050000
4,2,3490,7494,2,3,3490,0,2000,0,3260,2,67,975000
4,2,3520,6773,2,0,2650,870,2006,0,2930,3,67,870000
4,2,3560,11119,1,2,2290,1270,1986,0,3290,3,52,860000
5,2,3150,7119,2,0,3150,0,2013,0,1560,1,52,819900
6,3,2890,2370,2,0,2290,600,1906,0,2180,2,66,799200
3,1,2340,10495,1,0,2340,0,1967,0,3120,1,79,780000
3,3,3610,59677,2,0,2440,1170,2003,0,3130,3,51,777000
3,2,1780,6120,1,0,1390,390,1927,0,1960,2,58,771000
3,3,3190,5283,2,0,3190,0,2007,0,2950,1,52,757000
3,1,1310,3880,1,0,1090,220,1956,0,1570,3,60,717000
3,2,2030,8398,2,0,2030,0,1975,0,2450,1,64,700000
4,2,3000,5548,2,0,3000,0,2006,0,2870,3,65,675000
5,3,3410,9600,1,0,1870,1540,1968,0,2390,2,62,675000
3,2,1940,5820,1,0,1150,790,1944,0,990,1,60,665000
4,3,3400,5196,2,0,3400,0,2012,0,3170,2,56,660000
4,2,2740,7140,2,0,2740,0,1993,0,2260,1,74,651000
4,2,2210,4861,2,0,2210,0,2013,0,1590,2,62,650000
3,2,1740,13750,2,0,1740,0,1975,0,2540,3,63,645000
4,1,1950,13320,1,0,1370,580,1969,0,2120,3,60,635000
4,2,2260,6000,1,0,1430,830,1958,0,2030,1,60,628000
3,3,1810,1846,2,0,1440,370,2009,0,1480,1,76,625000
3,1,1710,4050,1,0,1710,0,1909,0,1790,3,64,620000
3,1,1680,2400,1,0,870,810,1922,0,1440,1,50,591000
4,2,2710,38180,2,0,2710,0,1977,0,2590,2,63,591000
4,1,2090,8164,1,0,1070,1020,1963,0,1310,2,66,581000
5,2,2290,7125,1,0,1190,1100,1964,0,1460,3,61,580000
3,1,1580,11750,1,0,1180,400,1951,0,2150,3,62,575000
3,2,1530,5401,1,0,1530,0,1937,0,1640,1,54,570000
3,1,1440,5000,2,0,1440,0,1910,0,1850,1,60,560000
4,2,2250,7500,1,0,1200,1050,1956,0,1440,3,73,550000
7,4,3440,8100,2,0,3440,0,1970,0,1420,1,62,550000
2,2,1680,4950,1,0,1680,0,2006,0,1570,2,72,530000
3,1,1690,8190,1,0,1690,0,1958,0,1840,3,62,530000
5,3,2450,4591,2,0,2450,0,1994,0,1060,1,52,525000
3,3,2876,5086,2,0,2360,516,2007,0,2390,1,70,525000
3,2,1580,1161,2,0,1010,570,2008,0,1680,1,54,525000
3,1,1240,7735,1,0,1240,0,1957,0,1260,1,54,523000
4,2,2790,5602,2,0,2790,0,2009,0,2790,1,69,505000
4,2,2040,5616,2,0,2040,0,2012,0,2380,2,72,502000
5,4,3830,35000,1,0,2130,1700,1976,0,2750,2,61,480000
4,2,3740,8700,1,0,2260,1480,2004,0,2650,1,68,475000
3,1,1270,5112,1,0,1270,0,1950,0,1580,2,77,465000
5,2,3400,8970,1,0,1700,1700,1959,0,1890,1,80,464000
3,2,2350,10450,1,0,1390,960,1977,0,2250,2,69,460000
4,2,3360,7685,2,0,3360,0,2001,0,3060,3,67,455000
3,2,1250,892,2,0,1040,210,2010,0,1250,2,52,450000
3,2,2450,42180,1,0,2450,0,1978,2000,1440,1,72,450000
3,2,1770,6610,1,0,960,810,1954,0,2010,3,63,449500
4,2,2140,6355,2,0,2140,0,2002,0,2480,1,72,435000
3,1,1960,5000,1,0,980,980,1911,0,1790,3,61,415000
4,1,1410,6000,1,0,810,600,1925,0,1500,3,80,413000
4,1,2180,13529,1,0,1090,1090,1956,0,2000,3,58,405000
3,2,1480,6600,1,2,740,740,1943,0,1250,2,58,385000
3,1,1190,9486,1,0,1190,0,1953,0,2100,3,54,375000
5,2,3001,5710,2,0,3001,0,2006,0,2340,1,77,373000
3,1,1650,8254,1,0,1060,590,1951,0,2280,3,52,370000
3,2,1490,1709,3,0,1490,0,2004,0,1364,1,69,354901
3,2,2010,14298,2,0,2010,0,1977,0,2010,3,72,350000
3,1,1090,7200,1,0,1090,0,1968,0,1240,2,63,345000
3,2,1450,5008,1,0,840,610,2007,0,2120,3,78,330000
3,2,1350,14200,1,0,1350,0,1989,0,2100,2,79,322500
3,1,1390,12823,1,0,1390,0,1968,0,1390,3,63,319000
3,1,1090,7315,1,0,1090,0,1981,0,1090,3,77,289000
3,2,1950,8251,2,0,1950,0,1990,0,1540,2,73,287600
3,2,1490,9600,1,0,1170,320,1987,0,1590,3,57,287000
3,1,1090,8640,1,0,1090,0,1973,0,1260,1,52,285000
4,1,2180,22870,1,0,1280,900,1954,1975,2420,1,66,273000
4,2,2510,8165,1,0,1610,900,1972,0,1940,3,59,267345
5,1,2020,7902,1,0,1220,800,1962,0,2220,3,66,245000
3,1,1900,33888,1,0,1900,0,1942,0,1430,2,80,239950
2,0,650,5360,1,0,650,0,1931,0,1110,1,52,230000
3,1,1250,7500,1,0,1250,0,1967,0,1260,2,72,225000
4,1,1950,12559,1,0,1950,0,1939,0,1950,1,51,225000
3,1,1040,6535,1,0,1040,0,1947,0,1100,2,62,225000
3,1,1660,7210,1,0,1100,560,1963,0,1660,2,51,225000
2,1,910,6232,1,0,910,0,1943,0,1070,3,62,155000
2,1,790,2640,1,0,790,0,1973,0,1310,3,76,90000
4,2,3260,19542,1,0,2170,1090,1968,0,3480,3,78,1880000
3,2,2550,7200,2,2,2550,0,1981,2013,2030,2,77,1400000
4,3,4910,9444,1,0,3110,1800,2007,0,4560,2,52,1220000
4,2,4470,60373,2,0,4470,0,1988,0,3210,3,67,1120000
4,2,2290,11137,1,0,2290,0,1955,0,2300,2,68,1060000
5,4,3810,8019,2,0,3810,0,2008,0,3390,1,53,966000
5,2,2510,9887,2,0,2510,0,1972,0,2510,3,69,955000
4,2,3320,7644,2,0,3320,0,1995,0,3320,3,54,950000
3,2,3100,20553,1,0,3100,0,1954,0,3000,3,50,930000
4,2,2190,7350,2,0,2190,0,1958,0,1880,1,80,925000
3,2,2580,13096,2,0,2580,0,1986,0,2580,2,55,802000
3,1,1700,4400,1,0,1700,0,1906,0,1610,3,71,800000
3,2,2470,3600,2,0,2470,0,2007,0,2570,3,60,773000
3,2,3030,30007,1,0,3030,0,1992,0,3360,2,53,766950
5,5,5774,31675,1,2,4490,1284,1984,0,3260,3,54,740000
4,2,3430,10157,2,0,3430,0,2000,0,3480,3,58,740000
4,2,2700,4004,2,0,2700,0,2004,0,2260,2,59,723000
4,2,2060,5649,1,0,1360,700,1941,0,2060,2,78,715000
4,3,3200,7081,2,0,3200,0,2004,0,3120,1,54,707000
3,1,2360,6750,2,0,1930,430,1926,0,1320,1,53,702500
3,1,1830,5120,1,2,1830,0,1903,0,2120,2,61,682000
4,2,2470,33305,2,0,2470,0,1993,0,2440,3,68,633100
4,2,1680,11180,1,0,1680,0,1966,0,2400,2,72,625000
5,2,2540,3832,2,0,1760,780,1929,0,2000,3,54,620000
5,1,2220,6000,1,0,1420,800,1923,0,1550,3,78,607500
2,1,1159,4800,1,0,1159,0,1948,0,1640,3,64,582500
4,2,2240,14667,2,0,2240,0,1989,0,2410,3,67,565000
3,1,1830,8000,1,0,1830,0,1957,0,1310,3,56,562000
3,1,2000,5000,1,0,1110,890,1921,0,1750,3,56,546000
3,2,2090,7640,1,0,1360,730,1962,2014,2090,2,59,543000
2,2,2370,217800,1,0,1600,770,1992,0,2370,2,80,543000
4,1,1900,8250,1,0,950,950,1955,0,1480,2,78,542000
3,1,1400,3825,1,0,1100,300,1904,0,1720,1,62,538000
4,2,2450,15002,1,0,2450,0,1974,0,2650,1,55,530000
3,1,1600,6120,1,0,1600,0,1924,0,1670,3,52,525000
3,2,1820,4883,2,0,1820,0,2005,0,2720,3,70,511000
3,1,2170,54014,1,0,1450,720,1986,0,2090,2,75,510000
3,2,2090,42689,1,0,2090,0,1959,1998,1890,3,70,499000
4,2,2270,7375,1,0,1290,980,1973,0,1750,1,74,498000
3,2,1850,9600,1,0,1850,0,1965,0,1250,2,80,489200
4,2,2150,39449,1,0,1420,730,1978,0,2010,3,68,486000
4,2,2310,14023,2,0,2310,0,1991,0,2410,2,69,470000
3,1,1660,7500,1,0,1060,600,1940,0,1450,2,70,458000
3,2,2910,17172,2,0,2910,0,1989,0,2910,2,64,450000
3,2,2580,5200,2,0,2580,0,2008,0,2700,3,59,437000
4,2,3040,24123,2,0,3040,0,1999,0,2420,2,74,420000
2,1,840,3522,1,0,840,0,1947,0,1390,3,69,405100
2,1,980,2130,1,0,860,120,1918,0,980,2,51,400000
2,1,830,4000,1,0,830,0,1955,0,950,2,68,394475
4,1,1620,4980,1,0,860,760,1947,0,1400,1,52,385000
3,2,1690,1618,2,0,1150,540,2014,0,1690,1,55,372977
3,1,1290,5500,1,0,980,310,1951,0,1680,2,73,372220
4,1,2010,8625,1,0,1340,670,1957,0,1500,1,61,364000
3,3,2100,12384,2,0,2100,0,1980,0,2400,3,55,356000
5,3,2257,10117,1,0,1363,894,2005,0,1540,3,53,349950
3,2,2120,15003,2,0,2120,0,1984,0,2070,1,74,345000
3,2,1970,3716,2,0,1970,0,1997,0,1780,1,71,340000
3,1,1050,5402,1,0,1050,0,1906,0,1510,1,75,339950
5,2,1700,7314,1,0,1000,700,1956,0,2000,3,67,337500
3,2,2220,6049,2,0,2220,0,1990,0,1980,1,57,325000
3,2,1840,5011,2,0,1840,0,2012,0,2000,3,58,317000
4,2,2010,7226,2,0,2010,0,1995,0,2160,1,80,316000
3,1,1050,9876,1,0,1050,0,1953,0,1760,3,68,310000
3,1,1480,7830,1,0,1480,0,1952,0,1450,3,64,310000
3,1,1220,1086,3,0,1220,0,2007,0,1220,3,72,306000
3,1,2110,10200,2,0,2110,0,1966,0,1800,3,50,305495
4,1,1590,131551,1,3,1590,0,1966,0,2280,3,69,305000
3,1,1260,8280,1,0,1260,0,1946,0,2100,3,80,300000
2,1,1250,34395,1,0,1250,0,1950,0,1910,2,71,299000
2,1,700,6000,1,0,700,0,1949,0,920,1,62,267800
3,2,1780,7214,1,0,1400,380,1986,0,1520,1,55,266000
3,2,1570,5706,1,0,1570,0,1998,0,1570,3,58,265000
3,2,1850,8250,1,0,1150,700,1952,0,1580,1,55,257200
4,2,2230,4541,2,0,2230,0,2006,0,2800,3,56,253000
4,2,1630,9010,1,0,1050,580,1975,0,1670,3,70,234000
3,1,1340,7473,1,0,1340,0,1973,0,1510,1,55,223000
2,1,1240,7200,1,0,1240,0,1967,0,1130,2,60,215000
2,1,1170,8925,1,2,1170,0,1911,0,1380,1,77,175000
3,1,860,11900,1,0,860,0,1963,0,1660,1,60,160000
2,1,700,5200,1,0,700,0,1952,0,1030,3,71,155000
3,1,1100,17334,1,0,1100,0,1978,0,1530,3,75,139000
4,1,3550,19865,2,0,3550,0,1962,2002,3000,2,79,2100000
4,2,3200,7535,2,0,3200,0,2006,0,1650,3,56,1260000
4,3,4210,10308,2,0,4210,0,2006,0,3860,2,71,1150000
4,3,3740,12080,1,0,2000,1740,1988,0,4210,1,68,1090000
5,4,3920,16258,2,0,2900,1020,1990,0,2540,3,77,1000000
4,2,3950,10856,3,0,3950,0,2013,0,3200,3,76,914500
4,1,2930,11562,1,3,1670,1260,1947,0,2530,2,80,840000
3,1,1230,12305,1,0,1230,0,1955,1990,2100,1,78,839000
4,3,3930,5680,2,1,2820,1110,2013,0,3700,3,69,828950
5,2,3030,10335,2,0,3030,0,2013,0,2720,3,51,819995
4,2,3310,5404,2,0,3310,0,2004,0,2600,3,72,803100
3,1,1790,6117,1,2,1350,440,1940,0,1960,2,54,790000
5,3,3580,14275,2,0,3190,390,1999,0,2740,3,65,765000
4,2,3240,20301,2,0,3240,0,1985,0,3010,3,74,749400
4,3,1980,5352,2,0,1980,0,1941,2005,1680,1,66,744000
3,2,3150,151588,2,0,3150,0,2007,0,2410,1,62,720000
4,3,3150,9130,2,0,3150,0,2001,0,2970,3,60,695000
3,2,4560,17622,2,0,3800,760,1986,0,2360,1,54,695000
4,3,2740,7266,2,0,2060,680,2003,0,3030,2,69,689900
4,2,2560,7798,1,0,1890,670,1947,0,1330,3,50,640000
4,2,2680,9185,2,0,2680,0,1989,0,2810,3,53,620000
4,2,1550,4815,1,0,1550,0,1909,0,1680,3,59,613000
4,2,2240,12032,1,0,2240,0,1983,0,2520,3,80,592500
5,1,2000,3750,2,0,2000,0,1921,0,1520,1,79,585000
4,2,2550,7636,1,0,1440,1110,1986,0,2290,1,78,582800
3,2,2360,4638,2,3,2360,0,1996,0,1620,3,68,580050
2,1,1490,6000,1,0,1090,400,1946,0,1590,2,75,575000
4,2,3020,17810,1,0,1600,1420,1979,0,2500,3,59,575000
3,2,1980,40887,1,0,1980,0,1980,0,2460,3,52,550000
3,2,2700,7434,2,0,2700,0,1991,0,2660,3,76,525000
3,2,1840,2875,2,0,1840,0,1997,0,1240,1,68,512500
4,2,2240,7200,2,0,2240,0,1995,0,1860,1,74,497000
4,2,2050,4000,1,0,1210,840,1941,0,1310,2,55,495000
7,3,2870,29699,1,0,1520,1350,1961,0,1380,3,57,475000
3,1,1660,6582,1,0,1000,660,1946,0,1110,3,59,467000
3,1,1260,10350,1,0,1260,0,1959,0,1800,3,78,465750
3,1,1410,6886,1,0,1410,0,1924,2013,1410,2,70,465000
3,2,1870,7344,1,0,1470,400,1980,0,1930,1,68,455000
2,1,1320,4520,1,1,1320,0,1912,1971,1420,3,71,451555
3,2,1510,7066,1,2,1230,280,1973,0,1950,2,55,430000
4,1,1880,7303,1,0,1010,870,1976,0,1710,3,59,423000
3,2,1640,9972,1,0,1640,0,1977,0,1680,2,60,420000
3,1,1340,10224,1,0,1340,0,1956,0,1340,3,65,417000
3,1,1490,8475,1,0,1490,0,1963,0,1490,1,70,412500
3,1,1630,10304,1,0,1630,0,1953,0,1480,1,78,400000
3,1,1120,7000,1,0,1120,0,1955,0,1470,2,70,395300
3,2,2240,10800,2,0,2240,0,1996,0,1900,2,69,390000
3,2,1720,3600,2,0,1720,0,2010,0,1720,1,63,386380
4,1,1890,8000,1,0,1250,640,1960,0,1870,3,74,375000
4,2,2710,5880,2,0,2710,0,1998,0,2520,3,72,370000
3,1,1680,250470,1,0,1070,610,1940,0,1680,3,66,350000
3,1,1400,7066,1,0,1400,0,1957,0,1400,2,61,349950
3,2,1700,7496,2,0,1700,0,1994,0,2280,3,67,349950
3,2,1232,1130,3,0,1232,0,2007,0,1232,1,68,344000
4,1,2290,10290,1,0,1340,950,1960,0,1800,3,53,343000
3,2,1180,9630,2,0,1180,0,1986,0,2660,1,53,342400
3,1,1960,8136,1,0,980,980,1948,0,1070,1,59,340000
3,2,2150,30476,2,0,2150,0,1991,0,2010,1,69,335000
4,2,2150,6807,2,0,2150,0,1991,0,1910,2,52,316500
2,1,880,6345,1,0,880,0,1919,0,1440,3,52,312500
3,2,1490,974,2,0,1220,270,2009,0,1490,2,78,312000
